Doctor ID,Doctor Name,Education,Speciality,Experience,Adress,Location,,,,,,,,,,,,,,,,,,,,,
1,Asst. Prof. Dr. Nurun Nahar Mohua,"['MBBS', 'D-CARD', 'PHD']",CARDIOLOGIST,16,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,,,,,,,,,,,,,,,,,,,,,
2,Dr. Rezaul Alam Khan,"['MBBS', 'CCD', 'MD']",MEDICINE SPECIALIST,23,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,,,,,,,,,,,,,,,,,,,,,
3,Dr. Ummy Salma Munni,"['MS', 'MPH', 'PHD', 'INFS']",NUTRITIONIST,14,BRB Hospitals Limited,Dhaka,,,,,,,,,,,,,,,,,,,,,
4,Dr. Mostafa Kamal Rouf,"['MBBS', 'BCS', 'FCPS', 'PGT']",MEDICINE SPECIALIST,23,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,,,,,,,,,,,,,,,,,,,,,
5,Asst. Prof. Dr. Akhlak Ahmed,"['MBBS', 'BCS', 'MACP']",MEDICINE SPECIALIST,19,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,,,,,,,,,,,,,,,,,,,,,
6,Prof. Dr. AKM Fazlul Haque,"['MBBS', 'MPH', 'MD', 'FACP']",INTERNAL MEDICINE,27,Aalok Healthcare Ltd. | Mirpur 10,Dhaka,,,,,,,,,,,,,,,,,,,,,
7,Dr. Kazi Fouzia Afrin,"['MBBS', 'BCS', 'MD']",RESPIRATORY SPECIALIST,24,Islami Bank Hospital | Motijheel,Dhaka,,,,,,,,,,,,,,,,,,,,,
8,Asst. Prof. Dr. Md. Sirajul Haque,"['MBBS', 'MD']",CARDIOLOGIST,20,Islami Bank Hospital | Motijheel,Dhaka,,,,,,,,,,,,,,,,,,,,,
9,Asst. Prof. Dr. Rajib Dhar,"['MBBS', 'MD']",CARDIOLOGIST,15,Apollo Clinic Dhanmondi & JMI Specialized Hospital,Dhaka,,,,,,,,,,,,,,,,,,,,,
10,Prof. Dr. Munira Ferdousi,"['MBBS', 'MPH', 'MS']",GYNECOLOGISTS,25,Uttara Crescent Hospital & Diagnostic Center,Dhaka,,,,,,,,,,,,,,,,,,,,,
11,Assoc. Prof. Dr. Salma Anam,"['MBBS', 'FCPS', 'MS']",GENERAL SURGEON,23,BRAC Healthcare | Mirpur,Dhaka,,,,,,,,,,,,,,,,,,,,,
11,Assoc. Prof. Dr. Salma Anam,"['MBBS', 'FCPS', 'MS']",PLASTIC SURGEON,23,BRAC Healthcare | Mirpur,Dhaka,,,,,,,,,,,,,,,,,,,,,
